2020-05-19 21:14:18 UTC | TRACE | INFO | (pkg/util/log/log.go:482 in func1) | Loaded configuration: /etc/datadog-agent/datadog.yaml
2020-05-19 21:14:18 UTC | TRACE | INFO | (pkg/trace/agent/run.go:99 in Run) | PID '19222' written to PID file '/opt/datadog-agent/run/trace-agent.pid'
2020-05-19 21:14:19 UTC | TRACE | INFO | (pkg/trace/agent/run.go:118 in Run) | Trace agent running on host missingkecl
2020-05-19 21:14:19 UTC | TRACE | INFO | (pkg/trace/api/api.go:152 in Start) | Listening for traces at http://localhost:8126
2020-05-19 21:14:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:15:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:16:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:17:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:101 in LogStats) | No data received
2020-05-19 21:18:05 UTC | TRACE | INFO | (main.go:23 in handleSignal) | received signal 15 (terminated)
2020-05-19 21:18:05 UTC | TRACE | INFO | (pkg/trace/agent/agent.go:129 in loop) | Exiting...
2020-05-19 21:18:05 UTC | TRACE | INFO | (pkg/trace/stats/concentrator.go:108 in Run) | Exiting concentrator, computing remaining stats
2020-05-19 21:19:28 UTC | TRACE | INFO | (pkg/util/log/log.go:482 in func1) | Loaded configuration: /etc/datadog-agent/datadog.yaml
2020-05-19 21:19:28 UTC | TRACE | INFO | (pkg/trace/agent/run.go:99 in Run) | PID '1143' written to PID file '/opt/datadog-agent/run/trace-agent.pid'
2020-05-19 21:19:28 UTC | TRACE | INFO | (pkg/trace/agent/run.go:118 in Run) | Trace agent running on host ubuntu-xenial
2020-05-19 21:19:28 UTC | TRACE | INFO | (pkg/trace/api/api.go:152 in Start) | Listening for traces at http://localhost:8126
