        CONTAINER ID                                                                     IMAGE                      COMMAND                      STATUS                                                             PORTS                                        NAMES
        51df978c112b                                                          cassandra:latest     "docker-entrypoint.sh …"      Exited (3) 5 weeks ago                                                                []                           [/heuristic_allen]
        5ce7179d4e54                                          datadog/agent-dev:master-py3-jmx                      "/init"    Exited (255) 4 weeks ago                                                                []                            [/dd_presto_py38]
        ccfcb4d4a0f5                                                        docker_coordinator           "./bin/launcher …"    Exited (255) 4 weeks ago                 [{0.0.0.0 8080 8080 tcp} {0.0.0.0 9999 9997 tcp}]                        [/presto_coordinator]
        445697fbf1bf                                                            docker_worker1           "./bin/launcher …"    Exited (255) 4 weeks ago                 [{0.0.0.0 8080 8081 tcp} {0.0.0.0 9999 9998 tcp}]                            [/presto_worker1]
        28e7914df115                                                            docker_worker2           "./bin/launcher …"    Exited (255) 4 weeks ago                 [{0.0.0.0 8080 8082 tcp} {0.0.0.0 9999 9999 tcp}]                            [/presto_worker2]
        8d86268c0a26                                                          cassandra:latest     "docker-entrypoint.sh …"      Exited (3) 5 weeks ago                                                                []                         [/nostalgic_hypatia]
        fa1f6a053c21                                                           cassandra:3.0.4    "/docker-entrypoint.sh …"      Exited (3) 5 weeks ago                                                                []                                 [/cassandra]
        dd95cd501ead   sha256:bb916e92ba2287c7965147f499c85bc3d697b32fdb1283eaeb8e98fc4c7e1b6e                      "/init"    Exited (255) 5 weeks ago                                                                []                     [/dd_jboss_wildfly_py38]
        07b19e677072                                                 varnish_test_no_agent:1.0                   "/init.sh"      Exited (0) 7 weeks ago                                                                []                           [/nervous_haslett]
        e31f9b720b2f   sha256:5f3530e34a4174248c23547a4382ac716eeccf34c8a5d84476dd8b124592d331                      "/init"      Exited (1) 7 weeks ago                                                                []                             [/sad_goldstine]
        29d68e4dd167                                              datadog/agent-dev:master-py3                      "/init"    Exited (255) 7 weeks ago                                                                []                       [/dd_varnish_py38-521]
        eaabb6c82a9d                                                       emgag/varnish:6.3.2                   "/init.sh"      Exited (2) 7 weeks ago                                                                []                          [/hardcore_mcnulty]
        3fbfbb054e8e                                                  datadog/dogstatsd:latest           "/entrypoint.sh …"    Exited (255) 7 weeks ago                                                   [{ 8125 0 udp}]                                   [/dd-dsdl]
        6003965f5153                                                  datadog/dogstatsd:7.16.0           "/entrypoint.sh …"    Exited (255) 7 weeks ago                                                   [{ 8125 0 udp}]                                   [/dd-dsdt]
        a67bccf41e9d                                                  datadog/dogstatsd:7.16.0           "/entrypoint.sh …"    Exited (255) 7 weeks ago                                                   [{ 8125 0 udp}]                                    [/dd-dsd]
        176da1ef6a09                                              microsoft/mssql-server-linux    "/opt/mssql/bin/sqlservr"      Exited (0) 7 weeks ago                                                                []                     [/heuristic_stonebraker]
        0e490a8099c1                                              microsoft/mssql-server-linux    "/opt/mssql/bin/sqlservr"      Exited (1) 7 weeks ago                                                                []                         [/ecstatic_mahavira]
        4624467abafa                                              datadog/agent-dev:master-jmx                      "/init"    Exited (255) 7 weeks ago                                                                []                     [/dd_jboss_wildfly_py37]
        f6f3c1e7afe8                                                jboss/wildfly:16.0.0.Final                  "/bin/sh …"    Exited (255) 5 weeks ago                           [{ 8080 0 tcp} {0.0.0.0 9990 9990 tcp}]                    [/docker_jboss_wildfly_1]
        6c29603c5293                                                          node-sandbox_app     "docker-entrypoint.sh …"                   Up 3 days                                         [{0.0.0.0 4000 4000 tcp}]                                     [/app-2]
        ae9d95b39421                                                             datadog/agent                      "/init"   Exited (255) 2 months ago                                     [{ 8125 0 udp} { 8126 0 tcp}]                    [/node-sandbox_ddagent_1]
        666636d3c3d8                                                                     mongo     "docker-entrypoint.sh …"   Exited (255) 2 months ago                                       [{0.0.0.0 27017 27017 tcp}]                                     [/mongo]
        2d080a87564b                                                     chentex/random-logger             "/entrypoint.sh"   Exited (255) 2 months ago                                                                []                             [/serene_yonath]
        8742e2485373                                                                  postgres     "docker-entrypoint.sh …"     Exited (1) 2 months ago                                                                []                             [/some-postgres]
        c344b3f578ac   sha256:6e91e46220df4f79034e1845b40870bf99fe3ae0e762f86a2a9fb2f7c01baaa6                      "/init"   Exited (255) 2 months ago                                                                []                              [/dd_ceph_py37]
        8dd239e8ad87                                                     php-datadog_2_php_fpm    "docker-php-entrypoint …"   Exited (255) 6 months ago                                         [{0.0.0.0 9000 9000 tcp}]                   [/php-datadog_2_php_fpm_1]
        8b4605ba1c13                                             opentracing/nginx-opentracing                    "nginx …"   Exited (255) 6 months ago                             [{ 80 0 tcp} {0.0.0.0 8080 8080 tcp}]                     [/php-datadog_2_nginx_1]
        a4e1ff1a136f                                                             datadog/agent                      "/init"   Exited (255) 6 months ago                           [{ 8125 0 udp} {0.0.0.0 8126 8126 tcp}]                  [/php-datadog_2_dd-agent_1]
        7f5adb1393fd                                                                 atsea_app                     "java …"   Exited (255) 6 months ago                 [{0.0.0.0 5005 5005 tcp} {0.0.0.0 8080 8080 tcp}]         [/atsea-sample-shop-app_appserver_1]
        03c7603da2b9                                     atsea-sample-shop-app_payment_gateway                  "/bin/sh …"   Exited (255) 6 months ago                                                                []   [/atsea-sample-shop-app_payment_gateway_1]
        17c443cf631c                                                                  atsea_db     "docker-entrypoint.sh …"   Exited (255) 6 months ago                                         [{0.0.0.0 5432 5432 tcp}]          [/atsea-sample-shop-app_database_1]
        5e0828c585b9                                       atsea-sample-shop-app_reverse_proxy                    "nginx …"     Exited (1) 6 months ago                                                                []     [/atsea-sample-shop-app_reverse_proxy_1]
        f0fcd07371eb                                                             datadog/agent                      "/init"   Exited (255) 6 months ago   [{ 8125 0 udp} {0.0.0.0 8126 8126 tcp} {0.0.0.0 8125 8125 tcp}]                             [/datadog-agent]
        50a2464040b5   sha256:421fe21068c4660ab435e5906923bf75d85f35d862b5150c2280a692424e7be7                  "/bin/sh …"     Exited (1) 6 months ago                                                                []                           [/sweet_matsumoto]
        175ef56e130a                                                 docker-quarkus_web:latest   "/deployments/run-java.sh"     Exited (1) 6 months ago                                                                []                                       [/app]
        d55dcc28443a                                                              flaskapp:1.0                  "/bin/sh …"                     Created                                                                []                          [/dreamy_engelbart]
        2084670327b6                                                        docker-quarkus_web                     "tail …"   Exited (255) 6 months ago             [{ 8778 0 tcp} { 9779 0 tcp} {0.0.0.0 8080 8080 tcp}]                      [/docker-quarkus_web_1]
        a0c953c1f635                                                                  postgres     "docker-entrypoint.sh …"   Exited (255) 6 months ago                                         [{0.0.0.0 5432 5432 tcp}]                       [/docker-quarkus_db_1]
        61f86aecbdff                                                      datadog/agent:latest                      "/init"   Exited (255) 6 months ago                         [{ 8125 0 udp} {127.0.0.1 8126 8126 tcp}]            [/docker-quarkus_datadog-agent_1]
        d34386ee8af9                                                                     nginx                    "nginx …"   Exited (255) 7 months ago                                             [{0.0.0.0 80 80 tcp}]                              [/docker-nginx]
        549d119d0807                                                                      test                       "bash"   Exited (255) 7 months ago                                                                []                        [/flamboyant_mclaren]
        c1f456a57533   sha256:cc16bdb4ca2ce3125845f95923eb89802ad11b614d73d59c4e2eed587161550f                  "/bin/sh …"   Exited (255) 7 months ago                                                                []                              [/great_yonath]
        fd465dd5ad5c   sha256:cc16bdb4ca2ce3125845f95923eb89802ad11b614d73d59c4e2eed587161550f                  "/bin/sh …"   Exited (255) 7 months ago                                                                []                         [/xenodochial_gould]
        455d1a0c7372                                                                     nginx                       "-l …"                     Created                                          [{0.0.0.0 80 32768 tcp}]                                  [/mynginx1]
        0a83eaba6367                                                              3be6f628df2a                  "/bin/sh …"   Exited (255) 8 months ago                                                                []                          [/eager_chatterjee]
